Site,NitrogenTreatment,IrrigationTreatment,Location,Rotation,Crop,Date,SoilN0_15,SoilN15_30,SoilN30_60,SoilN60_90,SoilN90_120,SoilN120_150,SoilN0_30,SoilN0_60,SoilN0_90,SoilN0_120,SoilN0_150
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Broccoli,2021-04-06,26.674,22.708,25.968,14.683,,,49.382,75.351,90.034,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Broccoli,2021-05-03,12.119,13.099,7.795,2.856,,,25.218,33.013,35.870,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Broccoli,2021-06-10,3.744,4.608,5.238,4.884,3.137,,8.352,13.590,18.473,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Broccoli,2021-06-30,4.200,4.159,5.009,4.297,4.354,4.003,8.360,13.369,17.665,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Broccoli,2021-02-24,17.143,15.729,5.345,2.752,3.360,1.566,32.872,38.217,40.969,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Broccoli,2021-04-06,35.624,29.645,8.744,9.237,,,65.269,74.013,83.250,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Broccoli,2021-05-03,22.607,14.447,8.324,5.567,,,37.054,45.378,50.945,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Broccoli,2021-06-10,4.481,5.206,6.736,4.848,3.714,,9.687,16.423,21.271,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Broccoli,2021-06-30,4.844,4.876,7.536,6.143,6.281,7.128,9.721,17.257,23.400,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Broccoli,2021-02-24,16.742,18.056,6.362,3.193,4.747,2.316,34.798,41.160,44.353,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Broccoli,2021-04-06,25.712,18.336,12.496,4.392,,,44.048,56.543,60.935,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Broccoli,2021-05-03,33.061,20.908,9.658,3.809,,,53.969,63.627,67.436,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Broccoli,2021-06-10,5.552,14.277,13.253,9.949,8.336,,19.829,33.082,43.032,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Broccoli,2021-06-30,4.716,6.457,9.791,10.652,11.427,12.096,11.173,20.964,31.616,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2021-08-27,10.557,11.862,14.395,9.386,9.848,,22.419,36.814,46.200,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2021-10-11,42.573,23.944,6.049,3.705,3.511,,66.516,72.565,76.271,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2021-11-22,93.635,42.679,20.495,11.371,9.261,,136.314,156.809,168.180,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2021-12-13,47.751,40.810,12.539,5.320,5.976,,88.561,101.100,106.421,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2022-01-18,7.421,9.354,28.560,26.208,20.859,,16.774,45.334,71.542,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2022-02-09,3.315,3.996,9.293,10.521,5.018,,7.311,16.604,27.125,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2022-03-01,6.703,8.804,11.785,12.356,8.849,5.029,15.507,27.292,39.647,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Onions,2022-05-03,32.444,25.662,15.043,13.906,10.820,,58.106,73.150,87.056,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2021-08-27,16.613,14.966,15.455,11.931,10.405,,31.579,47.034,58.965,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2021-10-11,61.772,22.543,7.114,7.171,8.930,,84.315,91.429,98.600,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2021-11-22,131.108,50.612,31.364,18.194,14.561,,181.720,213.084,231.278,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2021-12-13,84.614,46.812,12.205,4.985,2.497,,131.425,143.630,148.616,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2022-01-18,20.501,30.759,35.871,31.437,17.618,,51.260,87.131,118.568,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2022-02-09,3.850,6.711,18.135,12.276,10.596,,10.561,28.697,40.972,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2022-03-01,6.137,6.810,19.705,22.627,19.010,13.368,12.947,32.652,55.279,,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Onions,2022-05-03,34.814,19.680,22.395,20.808,13.628,,54.494,76.889,97.697,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2021-08-27,18.636,17.881,19.831,12.321,10.791,,36.517,56.348,68.669,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2021-10-11,78.392,27.506,11.437,12.665,9.788,,105.898,117.334,129.999,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2021-11-22,210.698,67.074,32.050,27.862,14.457,,277.772,309.822,337.684,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2021-12-13,135.993,68.979,30.830,20.244,5.814,,204.973,235.803,256.048,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2022-01-18,28.851,49.558,47.689,35.599,21.939,,78.409,126.098,161.697,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2022-02-09,6.619,9.570,34.992,16.040,11.968,,16.190,51.182,67.222,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2022-03-01,8.523,15.668,45.443,34.436,23.474,13.310,24.190,69.633,104.069,,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Onions,2022-05-03,35.791,38.643,53.512,33.232,27.540,,74.434,127.945,161.177,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2021-08-27,18.095,19.693,37.200,30.245,27.211,,37.788,74.988,105.233,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2021-10-11,123.005,46.524,19.286,15.039,19.487,,169.529,188.815,203.855,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2021-11-22,233.067,89.736,57.574,52.726,42.914,,322.803,380.377,433.102,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2021-12-13,169.037,87.744,30.637,19.008,18.608,,256.782,287.419,306.427,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2022-01-18,62.265,79.740,78.156,60.647,48.341,,142.006,220.162,280.808,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2022-02-09,36.541,75.623,77.868,38.351,20.623,,112.164,190.032,228.383,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2022-03-01,27.595,44.748,96.182,87.355,55.251,29.078,72.343,168.525,255.880,,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Onions,2022-05-03,71.470,66.481,94.702,71.328,38.161,,137.952,232.654,303.982,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2021-08-27,14.048,12.532,13.270,14.140,7.617,,26.581,39.850,53.990,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2021-10-11,42.734,29.213,7.213,6.928,4.218,,71.948,79.161,86.088,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2021-11-22,94.016,48.997,18.950,14.920,10.495,,143.013,161.963,176.883,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2021-12-13,44.031,44.532,10.851,15.559,6.212,,88.563,99.414,114.973,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2022-01-18,11.325,14.242,34.858,23.843,21.052,,25.567,60.424,84.267,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2022-02-09,4.724,4.213,11.251,11.200,6.608,,8.937,20.188,31.388,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2022-03-01,8.871,7.489,14.599,15.973,13.663,8.924,16.360,30.959,46.932,,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Onions,2022-05-03,29.742,26.803,13.991,15.389,11.334,,56.545,70.536,85.924,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2021-08-27,12.104,12.495,12.224,9.822,9.858,,24.599,36.823,46.644,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2021-10-11,70.107,39.845,11.002,11.569,8.223,,109.951,120.954,132.523,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2021-11-22,117.586,43.672,18.492,16.691,9.297,,161.259,179.751,196.441,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2021-12-13,84.751,36.955,16.361,10.735,2.209,,121.705,138.066,148.801,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2022-01-18,11.730,28.239,34.257,26.795,19.683,,39.969,74.225,101.021,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2022-02-09,4.202,4.682,15.051,12.973,6.906,,8.884,23.935,36.908,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2022-03-01,6.107,5.653,8.634,14.635,13.554,7.137,11.760,20.394,35.029,,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Onions,2022-05-03,35.580,28.386,19.860,21.852,13.744,,63.965,83.825,105.677,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2021-08-27,20.106,15.296,17.384,11.872,15.724,,35.402,52.786,64.658,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2021-10-11,78.357,35.193,17.331,30.318,14.457,,113.549,130.880,161.199,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2021-11-22,156.641,55.137,36.146,28.678,17.850,,211.777,247.924,276.602,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2021-12-13,133.675,50.065,12.828,7.613,5.613,,183.740,196.568,204.180,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2022-01-18,32.100,43.555,50.442,28.699,17.171,,75.655,126.097,154.796,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2022-02-09,4.399,11.648,33.453,19.977,7.592,,16.047,49.500,69.477,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2022-03-01,7.536,10.089,32.808,35.846,18.611,17.160,17.625,50.433,86.279,,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Onions,2022-05-03,45.171,37.414,47.146,33.148,19.865,,82.585,129.731,162.879,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2021-08-27,20.050,17.077,29.824,24.982,19.832,,37.127,66.950,91.932,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2021-10-11,105.103,45.947,17.193,13.685,16.548,,151.050,168.243,181.927,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2021-11-22,238.488,85.903,44.794,45.065,26.875,,324.391,369.185,414.250,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2021-12-13,197.140,63.510,23.550,14.366,9.825,,260.650,284.200,298.566,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2022-01-18,57.009,84.008,59.743,66.289,39.098,,141.017,200.760,267.049,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2022-02-09,19.900,77.239,103.426,38.151,12.856,,97.138,200.564,238.716,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2022-03-01,9.194,21.768,72.316,49.924,42.262,24.482,30.962,103.278,153.201,,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Onions,2022-05-03,49.865,44.738,67.200,58.092,41.473,,94.603,161.803,219.895,,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Ryegrass,2022-06-08,48.354,43.091,17.683,16.509,18.386,,91.445,109.129,125.638,144.024,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Ryegrass,2022-07-18,9.154,49.561,55.325,14.249,27.214,,58.714,114.040,128.289,155.504,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Ryegrass,2022-08-15,1.749,3.276,34.245,25.228,20.224,,5.025,39.270,64.498,84.723,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Ryegrass,2022-09-20,4.038,4.939,14.153,30.639,29.153,,8.977,23.130,53.769,82.922,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Ryegrass,2022-10-18,2.969,3.043,7.166,16.586,28.729,,6.013,13.179,29.765,58.495,
LincolnRot1_N1_Irr1,N1,Irr1,Lincoln,Rotation1,Ryegrass,2022-12-06,2.376,3.230,2.771,2.185,4.163,,5.605,8.377,10.562,14.725,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Ryegrass,2022-06-08,51.679,46.155,28.885,21.924,21.722,,97.834,126.719,148.643,170.365,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Ryegrass,2022-07-18,11.840,52.531,71.071,17.084,32.359,,64.371,135.442,152.526,184.885,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Ryegrass,2022-08-15,2.680,4.008,43.667,33.429,23.253,,6.688,50.355,83.784,107.037,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Ryegrass,2022-09-20,6.441,4.577,19.400,27.569,22.455,,11.018,30.419,57.987,80.442,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Ryegrass,2022-10-18,3.740,3.303,7.609,20.632,22.471,,7.043,14.652,35.284,57.755,
LincolnRot1_N2_Irr1,N2,Irr1,Lincoln,Rotation1,Ryegrass,2022-12-06,4.769,3.720,3.586,6.756,12.136,,8.489,12.074,18.831,30.966,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Ryegrass,2022-06-08,60.004,49.184,48.682,35.176,26.443,,109.189,157.870,193.046,219.489,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Ryegrass,2022-07-18,23.497,62.241,105.177,19.443,69.501,,85.738,190.915,210.358,279.859,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Ryegrass,2022-08-15,2.298,3.315,37.416,45.791,37.895,,5.613,43.029,88.820,126.715,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Ryegrass,2022-09-20,7.464,5.129,20.920,52.617,47.718,,12.593,33.513,86.130,133.848,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Ryegrass,2022-10-18,5.779,3.790,6.229,37.219,44.526,,9.569,15.798,53.017,97.543,
LincolnRot1_N3_Irr1,N3,Irr1,Lincoln,Rotation1,Ryegrass,2022-12-06,5.704,3.407,5.372,9.522,34.781,,9.112,14.484,24.006,58.787,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Ryegrass,2022-06-08,89.800,87.082,94.129,58.280,37.762,,176.881,271.011,329.290,367.052,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Ryegrass,2022-07-18,14.322,86.691,155.370,27.780,63.646,,101.014,256.384,284.164,347.810,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Ryegrass,2022-08-15,2.682,7.024,88.772,96.834,91.703,,9.706,98.478,195.312,287.015,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Ryegrass,2022-09-20,14.271,6.804,74.023,110.503,86.503,,21.076,95.099,205.602,292.105,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Ryegrass,2022-10-18,13.448,4.517,30.027,96.414,73.515,,17.965,47.992,144.406,217.922,
LincolnRot1_N4_Irr1,N4,Irr1,Lincoln,Rotation1,Ryegrass,2022-12-06,28.985,9.016,34.527,72.826,69.235,,38.001,72.528,145.354,214.589,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Ryegrass,2022-06-08,52.068,43.321,24.211,18.182,15.744,,95.389,119.601,137.783,153.527,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Ryegrass,2022-07-18,12.081,44.700,50.295,10.772,18.338,,56.781,107.076,117.849,136.187,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Ryegrass,2022-08-15,2.695,2.598,25.096,34.108,33.258,,5.293,30.389,64.497,97.755,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Ryegrass,2022-09-20,4.357,4.358,15.974,40.895,35.716,,8.715,24.689,65.584,101.300,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Ryegrass,2022-10-18,2.552,2.862,5.119,11.271,24.162,,5.414,10.533,21.804,45.966,
LincolnRot1_N1_Irr2,N1,Irr2,Lincoln,Rotation1,Ryegrass,2022-12-06,1.239,2.472,,0.208,5.561,,3.711,2.161,2.369,7.930,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Ryegrass,2022-06-08,55.736,39.181,28.960,23.687,17.711,,94.918,123.878,147.565,165.276,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Ryegrass,2022-07-18,10.876,38.134,64.144,16.145,27.003,,49.009,113.153,129.298,156.301,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Ryegrass,2022-08-15,2.423,3.067,36.882,41.723,34.806,,5.490,42.372,84.095,118.901,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Ryegrass,2022-09-20,5.372,4.719,14.099,33.300,28.658,,10.091,24.189,57.489,86.147,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Ryegrass,2022-10-18,3.096,2.955,5.960,23.824,29.378,,6.052,12.012,35.835,65.213,
LincolnRot1_N2_Irr2,N2,Irr2,Lincoln,Rotation1,Ryegrass,2022-12-06,3.477,2.208,2.100,3.686,16.207,,5.685,7.785,11.471,27.678,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Ryegrass,2022-06-08,61.825,55.076,27.254,27.327,22.802,,116.901,144.155,171.481,194.283,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Ryegrass,2022-07-18,12.494,45.409,56.370,16.419,33.290,,57.903,114.272,130.692,163.982,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Ryegrass,2022-08-15,1.850,4.162,46.136,47.545,41.968,,6.011,52.148,99.692,141.660,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Ryegrass,2022-09-20,11.260,5.937,21.018,36.913,35.132,,17.197,38.215,75.128,110.260,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Ryegrass,2022-10-18,8.204,4.599,10.952,39.601,36.416,,12.803,23.755,63.356,99.772,
LincolnRot1_N3_Irr2,N3,Irr2,Lincoln,Rotation1,Ryegrass,2022-12-06,3.110,0.826,2.305,7.787,32.107,,3.935,6.240,14.028,46.135,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Ryegrass,2022-06-08,71.081,75.758,95.370,63.684,44.059,,146.839,242.209,305.893,349.952,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Ryegrass,2022-07-18,13.067,72.163,123.134,28.369,71.779,,85.230,208.364,236.733,308.513,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Ryegrass,2022-08-15,2.497,3.491,69.417,70.023,65.609,,5.988,75.405,145.428,211.037,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Ryegrass,2022-09-20,17.886,7.313,52.444,77.782,69.511,,25.199,77.643,155.425,224.936,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Ryegrass,2022-10-18,6.342,3.832,10.719,38.135,58.662,,10.174,20.893,59.028,117.689,
LincolnRot1_N4_Irr2,N4,Irr2,Lincoln,Rotation1,Ryegrass,2022-12-06,9.199,6.490,6.419,32.909,72.721,,15.689,22.108,55.017,127.737,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-01,20.020,26.384,13.128,12.706,14.473,11.060,46.405,59.533,72.239,84.608,95.009
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-21,40.271,33.104,13.225,8.704,,,73.375,86.600,95.304,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-11,23.793,26.070,16.762,15.011,,,49.864,66.626,81.637,,
LincolnRot2_N1_Irr1,N1,Irr1,Lincoln,Rotation2,Pakchoi,2021-01-20,8.076,5.381,6.585,9.139,12.956,10.691,13.457,20.042,29.181,37.899,47.368
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-01,18.713,20.594,12.009,9.582,11.612,7.420,39.307,51.316,60.898,80.715,88.915
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Pakchoi,2020-12-21,40.914,34.375,13.559,8.691,,,75.289,88.848,97.539,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-11,21.003,23.441,18.695,9.656,,,44.444,63.139,72.794,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Pakchoi,2021-01-20,4.634,4.238,8.511,9.451,12.754,8.763,8.873,17.383,26.835,51.177,59.808
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-01,19.276,26.708,12.100,10.588,13.736,9.013,45.984,58.084,68.673,78.551,85.857
LincolnRot2_N2_Irr1,N2,Irr1,Lincoln,Rotation2,Pakchoi,2020-12-21,41.554,35.656,13.955,11.296,,,77.210,91.165,102.462,,
